feature,question,rel_question,labels
Need money do you think money is a way to happiness ??,I am in desperate need of QR 1400/- i don't have valuable to sale but if anyone interested in having Nintendo Wii with plenty games for a month can contact me at 3065581. After a month i'll return your QR 1400/- and take back my Nintendo Wii. The exchange should happen before 8am tomorrow. Only interested people can contact me; please no negotiation.,Hi Peeps i would like to know your op' about that does money buy happiness ?? ; would u be able to enjoy your life with less money ?? i'm sick and tired of seeing people talking about money and not convinced of what they have although they live in comfortable life have a nice day mates,Irrelevant
Need money Money is everything in ur life;do u agree ?,I am in desperate need of QR 1400/- i don't have valuable to sale but if anyone interested in having Nintendo Wii with plenty games for a month can contact me at 3065581. After a month i'll return your QR 1400/- and take back my Nintendo Wii. The exchange should happen before 8am tomorrow. Only interested people can contact me; please no negotiation.,write your reason !!!,Irrelevant
Need money Make money as a Teenager,I am in desperate need of QR 1400/- i don't have valuable to sale but if anyone interested in having Nintendo Wii with plenty games for a month can contact me at 3065581. After a month i'll return your QR 1400/- and take back my Nintendo Wii. The exchange should happen before 8am tomorrow. Only interested people can contact me; please no negotiation.,How can a Teenager in Qatar make money? I don't mean piles and piles of money; i'm talking a few thousand riyals.. You know.. To save and stuff? Anyway; any smart recommendations would be appreciated ;D,Relevant
"Need money ""cheapest way to send money from Doha to Philippines",I am in desperate need of QR 1400/- i don't have valuable to sale but if anyone interested in having Nintendo Wii with plenty games for a month can contact me at 3065581. After a month i'll return your QR 1400/- and take back my Nintendo Wii. The exchange should happen before 8am tomorrow. Only interested people can contact me; please no negotiation.,"hello. i am new here in doha; qatar. i need a """"KABAYAN"""" help on where to send money from Doha to Philippines in the most safest and cheapest way. Western Union is good but its money exchange rate is too low. I also have a bank account in my born-town. which is which? mga kababayan; suggestions nman diyan.""",Irrelevant
Need money Terminated without NOC and with personal loan,I am in desperate need of QR 1400/- i don't have valuable to sale but if anyone interested in having Nintendo Wii with plenty games for a month can contact me at 3065581. After a month i'll return your QR 1400/- and take back my Nintendo Wii. The exchange should happen before 8am tomorrow. Only interested people can contact me; please no negotiation.,I know this subject has been discussed before but I need real life examples or professional opinion please: Terminated from company; no intention to provide NOC; and personal loan from bank (with signed approval from sponsor to take the loan) which needs 3.5 years to be covered. What am I supposed to do? Anyone can help with real examples or legal opinion... Much appreciated!,Irrelevant
Need money How to make lot of money???,I am in desperate need of QR 1400/- i don't have valuable to sale but if anyone interested in having Nintendo Wii with plenty games for a month can contact me at 3065581. After a month i'll return your QR 1400/- and take back my Nintendo Wii. The exchange should happen before 8am tomorrow. Only interested people can contact me; please no negotiation.,How to make hell lot of money????????????,Irrelevant
Is it possible to get family visa for my sister? Can you help me about family visit visa ??,I'm wondering 'coz I'm under company visa not husband visa; is there any possibility to apply family visa for my sister? My salary is QR5;000 me and my husband are working; and reason if ever my sister could help me to take care of my daughter instead of pick and drop to the baby sitter and paying other people..,Is there any salary limitations for bringing wife on Family visit visa ?? Morever while staying on visit visa is it possible to transfer into Residence >> Appreciate your help in this regards,Relevant
Is it possible to get family visa for my sister? Visa Extension for My Sister in Law,I'm wondering 'coz I'm under company visa not husband visa; is there any possibility to apply family visa for my sister? My salary is QR5;000 me and my husband are working; and reason if ever my sister could help me to take care of my daughter instead of pick and drop to the baby sitter and paying other people..,Dear All; I would like to ask some help/advice from you regarding my sister's in law visa; she is under my sponsorship (family visit visa) and her visa will be expired on Nov.17;2012 (3months from the time she arrive in Doha). My question is; can I still extend her visa for another (1)one month? Please help and advice! Thank you!,Irrelevant
Is it possible to get family visa for my sister? Family visa,I'm wondering 'coz I'm under company visa not husband visa; is there any possibility to apply family visa for my sister? My salary is QR5;000 me and my husband are working; and reason if ever my sister could help me to take care of my daughter instead of pick and drop to the baby sitter and paying other people..,Hello I would like to know whatåÊare the required documents for applying for family visa; AlreadyåÊmy wife isåÊin qatar on visit visa. I need to change it to Family visa for RP. Please anyone tell me what allåÊI require. * Regarding the bank statementåÊ; is three(3) months bank statement enough? cause iåÊcan give only for three months. I opened an account only this month..åÊPls advice.. Thank you. With regards.,Relevant
Is it possible to get family visa for my sister? Ban in Qatar,I'm wondering 'coz I'm under company visa not husband visa; is there any possibility to apply family visa for my sister? My salary is QR5;000 me and my husband are working; and reason if ever my sister could help me to take care of my daughter instead of pick and drop to the baby sitter and paying other people..,I just want to ask if there is new rules about the ban in Qatar;once you are cancelled. Is there any ways to comeback and seek for a job again?,Irrelevant
Is it possible to get family visa for my sister? VISIT VISA FOR MY SISTER,I'm wondering 'coz I'm under company visa not husband visa; is there any possibility to apply family visa for my sister? My salary is QR5;000 me and my husband are working; and reason if ever my sister could help me to take care of my daughter instead of pick and drop to the baby sitter and paying other people..,HELLO. PLEASE I NEED YOUR OPINION. MY SISTER IS HERE IN QATAR ON JUNE 17 BY VISIT VISA. CAN I TRANSFER HER VISA TO MY VISA? AS FAMILY VISIT VISA? THANK YOU.,PerfectMatch
Is it possible to get family visa for my sister? Family Visit visa for my sister,I'm wondering 'coz I'm under company visa not husband visa; is there any possibility to apply family visa for my sister? My salary is QR5;000 me and my husband are working; and reason if ever my sister could help me to take care of my daughter instead of pick and drop to the baby sitter and paying other people..,HI Kabayan ; IM Filipina; single..Anybody knows if it is posibble to apply my sister a family visit visa.. What are the requirements? pls help!,Relevant
Is it possible to get family visa for my sister? visa for saudi arabia,I'm wondering 'coz I'm under company visa not husband visa; is there any possibility to apply family visa for my sister? My salary is QR5;000 me and my husband are working; and reason if ever my sister could help me to take care of my daughter instead of pick and drop to the baby sitter and paying other people..,Ask all; I am a housewife on my husbends sponsorship;I would like to visit my sister in saudi arabia alone;is it possible for me to do the that?Which visa should I apply for and from where?Is it practical to go with my husband till the border and clear the immigration alone and then picked up by brother in law on the other side?pls advice,Relevant
Is it possible to get family visa for my sister? Cancelled Visa but Wants to Return in Qatar,I'm wondering 'coz I'm under company visa not husband visa; is there any possibility to apply family visa for my sister? My salary is QR5;000 me and my husband are working; and reason if ever my sister could help me to take care of my daughter instead of pick and drop to the baby sitter and paying other people..,I was can canceled by my company one month ago. Now I'm here in the Philippines. I want to go back to Qatar. I want to know after how many months must I wait before I can go back again to Qatar? Please help me!!!,Irrelevant
Is it possible to get family visa for my sister? Affidavit of Support in NAIA kabayan,I'm wondering 'coz I'm under company visa not husband visa; is there any possibility to apply family visa for my sister? My salary is QR5;000 me and my husband are working; and reason if ever my sister could help me to take care of my daughter instead of pick and drop to the baby sitter and paying other people..,My son & sister in law is coming to Qatar this saturday with family visit visa. Somebody told me that NAIA imigration will not allow them to board the plane without affidavit of support stamped by Phil. Embassy here.. Is this true? Is a letter from my wife (sponsor)and her Qatar ID enough? i mean are they going to consider it? Anybody who had an experience about this kabayans...? Thnx much,Relevant
Is it possible to get family visa for my sister? Tourist visa Extension,I'm wondering 'coz I'm under company visa not husband visa; is there any possibility to apply family visa for my sister? My salary is QR5;000 me and my husband are working; and reason if ever my sister could help me to take care of my daughter instead of pick and drop to the baby sitter and paying other people..,Is it possible to extend theåÊ tourist visa (through hotel) after one month stay in qatar?,Relevant
To Rent or To Lease a car? Absolutely cheapest car rental company?,Hi; It's time for us to think about getting cars more semi-permanent . We are undecided whether to buy; to lease; or to rent. We've been renting cars for awhile now. Let's just say we need cars in Qatar for maximum of 2 years. What do you think is best?,I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!),Relevant
To Rent or To Lease a car? Does anyone knows how the TRUTH RENT A CAR AND REAL ESTATE treat their clients/ customer,Hi; It's time for us to think about getting cars more semi-permanent . We are undecided whether to buy; to lease; or to rent. We've been renting cars for awhile now. Let's just say we need cars in Qatar for maximum of 2 years. What do you think is best?,We used to rent at this company and it seems they dont want to return our deposit; they keep on making excuses everytime we call or visit their office. Any suggestions?,Irrelevant
To Rent or To Lease a car? Recommendations for car hire in Doha,Hi; It's time for us to think about getting cars more semi-permanent . We are undecided whether to buy; to lease; or to rent. We've been renting cars for awhile now. Let's just say we need cars in Qatar for maximum of 2 years. What do you think is best?,Soon to move to Doha and will need transport when I get there. Do any of you have reliable recommendations for vehicle hire companies? I shall be looking for a reasonable size vehicle; SUV / MPV. Regards Al,Irrelevant
To Rent or To Lease a car? QR1;500/month Car Rental???,Hi; It's time for us to think about getting cars more semi-permanent . We are undecided whether to buy; to lease; or to rent. We've been renting cars for awhile now. Let's just say we need cars in Qatar for maximum of 2 years. What do you think is best?,G'day all; A mate of mine was renting a car for QR1;500/month !!!; just wondering if any one knows or has a contact for such? Unfortunately my mate left last month and I lost his email address in between; hence I am unable to ask him direct. Cheers; Don,Relevant
To Rent or To Lease a car? Looking for rent a car without passport and credit card?,Hi; It's time for us to think about getting cars more semi-permanent . We are undecided whether to buy; to lease; or to rent. We've been renting cars for awhile now. Let's just say we need cars in Qatar for maximum of 2 years. What do you think is best?,Hi everybody; Could you advice me where can i rent car without giving my passport(coz i travel alot);and i dont ve credit card either. I want 2 rent a car automatic and full insurance.im new driver; gonna rent 1 st time.I dont know how can i choose. Thanks in advance,PerfectMatch
To Rent or To Lease a car? DOHA CARS,Hi; It's time for us to think about getting cars more semi-permanent . We are undecided whether to buy; to lease; or to rent. We've been renting cars for awhile now. Let's just say we need cars in Qatar for maximum of 2 years. What do you think is best?,Hi all; here to discuss the cars prices in Qatar and the best auto deal. What is the best car to drive in Doha? Monthly payment? Leasing?... All advices for cars in DOHA! Post some websites for Used Cars and brand new cars? What is the most reliable agent in Doha? Simply WHAT CAR TO BUY ?,PerfectMatch
To Rent or To Lease a car? Car Leasing,Hi; It's time for us to think about getting cars more semi-permanent . We are undecided whether to buy; to lease; or to rent. We've been renting cars for awhile now. Let's just say we need cars in Qatar for maximum of 2 years. What do you think is best?,Morning All; Moving to Doha this month (May) and am looking to find a reliable care leasing company. Any recommendations? thanks,Relevant
To Rent or To Lease a car? Is there a place to rent a motorcycle,Hi; It's time for us to think about getting cars more semi-permanent . We are undecided whether to buy; to lease; or to rent. We've been renting cars for awhile now. Let's just say we need cars in Qatar for maximum of 2 years. What do you think is best?,I'll only be in Doha for 3 months and would rather rent a Motorcycle then rent a car; now that the weather is cooling off. I haven't been into the one dealership I saw because I think they're only selling new bikes right? Its difficult for me to find phone numbers for these places so if anyone had some input on the best way to start riding here I would be most grateful.,Irrelevant
To Rent or To Lease a car? What happens if I break my lease in Doha?,Hi; It's time for us to think about getting cars more semi-permanent . We are undecided whether to buy; to lease; or to rent. We've been renting cars for awhile now. Let's just say we need cars in Qatar for maximum of 2 years. What do you think is best?,My lease in my current place ends in December; but frankly I'm sick of paying for my overpriced rent while all around me prices are dropping. I wonder if everyone knows what the legal repercutions are of skipping out on my lease?,Irrelevant
To Rent or To Lease a car? Renting a bus for sight-seeing,Hi; It's time for us to think about getting cars more semi-permanent . We are undecided whether to buy; to lease; or to rent. We've been renting cars for awhile now. Let's just say we need cars in Qatar for maximum of 2 years. What do you think is best?,I'm organizing a one day trip in QataråÊfor friends.åÊ I need a bus to travel with them.åÊ Toyota Coaster is a nice-sized bus.åÊ Where can I rent a bus?,Irrelevant
Any Idea ? Any Guess? Any Idea ? Any Guess?,Any Idea? Any Guess? 1. I wonder if MODs (ok; site admn) will change name of this site to IL (Indian Living) from QL ?; any guess? 2. Why Indians cant discuss their homely issues in their dedicated forums (QLIG)? Any guess? PS : its posted in funnies .; any guess?? Word of caution : Plz do not make it a bashing thread; but if bash- itching is too persistent;...your wish:),Any Idea? Any Guess? 1. I wonder if MODs (ok; site admn) will change name of this site to IL (Indian Living) from QL ?; any guess? 2. Why Indians canÛªt discuss their homely issues in their dedicated forums (QLIG)? Any guess? PS : itÛªs posted in funnies Û_.; any guess?? Word of caution : Plz do not make it a bashing thread; but if bash- itching is too persistent;Û_..Û_.your wishÛ_:),PerfectMatch
Any Idea ? Any Guess? Tears..Any Idea,Any Idea? Any Guess? 1. I wonder if MODs (ok; site admn) will change name of this site to IL (Indian Living) from QL ?; any guess? 2. Why Indians cant discuss their homely issues in their dedicated forums (QLIG)? Any guess? PS : its posted in funnies .; any guess?? Word of caution : Plz do not make it a bashing thread; but if bash- itching is too persistent;...your wish:),How to get 1 litre Tears.....???,Irrelevant
Any Idea ? Any Guess? how much donation for engineering?,Any Idea? Any Guess? 1. I wonder if MODs (ok; site admn) will change name of this site to IL (Indian Living) from QL ?; any guess? 2. Why Indians cant discuss their homely issues in their dedicated forums (QLIG)? Any guess? PS : its posted in funnies .; any guess?? Word of caution : Plz do not make it a bashing thread; but if bash- itching is too persistent;...your wish:),Hi; Sir I'm going for Engeering. To India So I actually wanted to noe how much does the collage people take for the seat...I mean donation money. ..in other language rishwat? How much they take for engeering admissions Any guess plzzz its reaally urgent for me to noe this!!!! I want to arrange some money fot it b4 o go plzz,Irrelevant
Any Idea ? Any Guess? Any one has bought/ booked property in Pearl Qatar?,Any Idea? Any Guess? 1. I wonder if MODs (ok; site admn) will change name of this site to IL (Indian Living) from QL ?; any guess? 2. Why Indians cant discuss their homely issues in their dedicated forums (QLIG)? Any guess? PS : its posted in funnies .; any guess?? Word of caution : Plz do not make it a bashing thread; but if bash- itching is too persistent;...your wish:),I have read several newspaper reports about peral qatar and how its thrown open for expats to invest in this project. With land prices and rentals shooting up in Doha; I felt it would be better to invest in Pearl Qatar and this would only be an appreciating asset... I would appreciate feedback from anyone who has actually invested / or planning to invest in this project... Whats the flip side/ disadvantages of investing in Pearl Qatar.....,Irrelevant
Any Idea ? Any Guess? Freighting stuff from UK to Dukhan,Any Idea? Any Guess? 1. I wonder if MODs (ok; site admn) will change name of this site to IL (Indian Living) from QL ?; any guess? 2. Why Indians cant discuss their homely issues in their dedicated forums (QLIG)? Any guess? PS : its posted in funnies .; any guess?? Word of caution : Plz do not make it a bashing thread; but if bash- itching is too persistent;...your wish:),Hello everybody; We are wondering if any one has recently freighted stuff from UK to Dukhan. So far; I have found a number of Removal/Freighting Companies who only deliver to Doha. I guess we have to arrange to get stuff from Doha to Dukhan?åÊ If so does anyone know of companies to refer?åÊ Any idea of cost etc etc Your help much appreciated.,Irrelevant
Any Idea ? Any Guess? Flying dog to Canada??,Any Idea? Any Guess? 1. I wonder if MODs (ok; site admn) will change name of this site to IL (Indian Living) from QL ?; any guess? 2. Why Indians cant discuss their homely issues in their dedicated forums (QLIG)? Any guess? PS : its posted in funnies .; any guess?? Word of caution : Plz do not make it a bashing thread; but if bash- itching is too persistent;...your wish:),Does anybody have any idea&#39;s on the cost of flying a dog back to Canada??Just a round about figure.I have a black Lab i want to take to Canada with me instaed of leaving in a kennel for three months.. What airlines and how i go about it???,Irrelevant
Any Idea ? Any Guess? Any idea to get a US visit visa?,Any Idea? Any Guess? 1. I wonder if MODs (ok; site admn) will change name of this site to IL (Indian Living) from QL ?; any guess? 2. Why Indians cant discuss their homely issues in their dedicated forums (QLIG)? Any guess? PS : its posted in funnies .; any guess?? Word of caution : Plz do not make it a bashing thread; but if bash- itching is too persistent;...your wish:),hi everyone!åÊ I work here in doha under a gov't sponsorship...i heard that aquiring a US visit visa with this sponsorship will make it all easy. Any truth about this? Thanks ;;;,Irrelevant
Any Idea ? Any Guess? Event Coordinator / Manager Salary ?,Any Idea? Any Guess? 1. I wonder if MODs (ok; site admn) will change name of this site to IL (Indian Living) from QL ?; any guess? 2. Why Indians cant discuss their homely issues in their dedicated forums (QLIG)? Any guess? PS : its posted in funnies .; any guess?? Word of caution : Plz do not make it a bashing thread; but if bash- itching is too persistent;...your wish:),Hi!! What is the average salary range for Event Coordinator or Event Manager? Generally which one is higher designation in Qatar. Thanks in advance :),Irrelevant
Any Idea ? Any Guess? ANNIVERSARY GIFT: any idea?,Any Idea? Any Guess? 1. I wonder if MODs (ok; site admn) will change name of this site to IL (Indian Living) from QL ?; any guess? 2. Why Indians cant discuss their homely issues in their dedicated forums (QLIG)? Any guess? PS : its posted in funnies .; any guess?? Word of caution : Plz do not make it a bashing thread; but if bash- itching is too persistent;...your wish:),I know; I know... There are maybe tens topics with the same subject.. but please donÛªt suggest ÛÏto make a searchÛÛ_new people are coming to QL; with new experience; with fresh ideasÛ_ so please again: Any idea about the nice gift for the nice guy for the anniversary?Û_ thanksÛ_.,Irrelevant
Any Idea ? Any Guess? NEW IN QATAR,Any Idea? Any Guess? 1. I wonder if MODs (ok; site admn) will change name of this site to IL (Indian Living) from QL ?; any guess? 2. Why Indians cant discuss their homely issues in their dedicated forums (QLIG)? Any guess? PS : its posted in funnies .; any guess?? Word of caution : Plz do not make it a bashing thread; but if bash- itching is too persistent;...your wish:),Hello! Just wanted to say HI and MAY I JOIN IN? My husband's leaving for Qatar on the 29th (for the first time) and hopefully; our daughter and I will follow once he's over his probationary period. Do you; guys have any idea how soon can we get our visa? He'll be working with QP; and probationary period is 3 months. Thanks!,Irrelevant
Travel Insurance Help needed to apply schengen visa,My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application; I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks,Hi guys.. Does anyone of you know how to apply a schengen visa particularly french visa? Im planning to travel for vacation but the info i read in google confuses me... It looks complicated to me.,Irrelevant
Travel Insurance Best Credit Card in Doha,My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application; I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks,I would like to apply for a credit card that gives me Points when i spend and not just a simple card that does not get me anything in return for using it... Which card would you recommend gives the most reward for using the card and which card should i stay away from?? (PS I understand that i would either need to shift my salary to the bank or put a deposit of some sort...) thanks!!,Irrelevant
Travel Insurance your favorite travel agent?,My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application; I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks,greetings for an amazing day..... :) could u plz tell me about ur choice of travel agency? and y? heard of alqyed travels?.......plz comment about service and customer satisfaction......heard they are good with their service and have got some well experienced staff. thank u for ur time good day,Relevant
Travel Insurance Travel packages for Eid Holidays,My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application; I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks,Which travel agency has good packages for Eid Holidays with low prices? Can anyone recomend me any Travel agency who arranges travel packages? thanks,Irrelevant
Travel Insurance Travel agencies,My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application; I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks,Hi everybody. Do you know any travel agencies in Qatar?,Relevant
Travel Insurance lost baggage in air arabia,My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application; I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks,what is the procedure for lost baggage in air arabia; the air arabia representatives (ragency travels) they said there will be a compensation i.e. 20 $ per killo. who knows th etrue situation? as far as I concern our baggage worth more than 200$; and it is very unfare to just pay for the weight of the bag.,Irrelevant
Travel Insurance Holidays and vacations from Doha?,My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application; I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks,Not living in Doha at the moment; but I wondered if travelling on vacation is expensive from Doha and whether holiday packages are common? I had a quick look on the Doha's Regency Travel and Tours website and the choice of packages shown online is extremely limited. Is this representative; or are there lots of travel agents on the high streets that can arrange regular holiday packages at a reasonable price? Many thanks; Sarah,Irrelevant
Travel Insurance PERSONAL LOAN AND WORK TERMINATION,My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application; I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks,I am currently working here in Qatar; our employer informed us that they will transfer to contractor with less salary; but we have option not to accept; but the problem is I have Personal Loan in one of the BAnk here in DOHA; what if I will not accept the offer; what will happen to me ; I mean did the BAnk will force to pay or not?,Irrelevant
Travel Insurance personal loan and lost job w/ no relase,My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application; I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks,i just got my loan 6 months ago and i been terminated by the company.What will be the procedures with the bank regarding my loan?my company is not giving release?is there any chance that my company will release me to continue paying my loan?Is there an insurance for all personal loans?if there is how long it will take to get the clearance from the bank?please advised.,Irrelevant
Travel Insurance Need to get our dog to Doha!!,My wife and me are going on a cruise ship fairly shortly for which I need a Schengen visa - thats ok but as part of the application; I need travel insurance - the cruise company cannot help with their standard package as its only available to UK residents. Anybody suggest where I can purchase Travel Insurance either on line or in a shop in Qatar. Thanks,Can anyone advise on what the procedure is for us here in Doha to get our dog here from SA. How do I apply for the permit? Help please..,Irrelevant
Water Theme Park any water theme park in qatar?,Is Aqua Park now open to visit ???,Do you know about any water theme park in qatar?,Relevant
Water Theme Park Qatar should have Amusement Parks and Water Theme Parks?? Whts your say???,Is Aqua Park now open to visit ???,Qatar should think of making Amusement parks and Water theme Parks other than making Buildings and villa with no one to stay in??? Whts your Say on this???,Irrelevant
Water Theme Park Aqua Park - Qatar (check video),Is Aqua Park now open to visit ???,I havent been there; still.. but found this video and I like it. Did anyone visit it? http://www.youtube.com/watch?v=giZqRSTg49o,Irrelevant
Water Theme Park The best place can be visited in qatar ?,Is Aqua Park now open to visit ???,hi all ;; what is the The best place can be visited in qatar To enjoy with ur friends ? ur family ? with any one ?,Irrelevant
Water Theme Park Out and about with a one and a half year old!,Is Aqua Park now open to visit ???,Hey all; Just got to Doha from the UK under 2 weeks ago (hubby got a job here); which leaves me at home with my little girl. Can anyone recommend places to go; which are kiddy friendly; and where my husband and I can chill out too? We have been to the Villagio; Hyatt Plaza and Souq Waqif. Thanks! Shaz,Irrelevant
Water Theme Park What would be a great attraction for Doha,Is Aqua Park now open to visit ???,Instead of another cloned mall in Doha; What would you like to see built instead? My top 2 would be: A Theme Park A Water Park Any other suggestions?,Relevant
Water Theme Park Been to Singapore;anyone?,Is Aqua Park now open to visit ???,We are planning to visit Singapore during Christmas season; next month; Godwilling.Any suggestions or tips are most welcome.We have to start from scratch(Scratching the head only has begun...) Since we will not be making another trip to that part of the earth in a long time; a trip which touches Thailand; Malaysia;etc would be great.But we really dont have an idea and are running out of time... Type in your tips; buddies....!!,Irrelevant
Water Theme Park Disney World,Is Aqua Park now open to visit ???,Dears; I'm planning to take kids to the Disney World this summer. They are at the ages I feel most appropriate to enjoy the place. If anyone had been there; please help. Which hotel to choose ( suitable for an infant); what kind of tickets to buy? What are the best attractions? I'm lost. Thanks in advance,Irrelevant
Water Theme Park wall/rock climbing,Is Aqua Park now open to visit ???,hello guys! anybody here interested in wall/rock climbing? i am a mountaineering enthusiast from phils. since no mountains here i was thinkingåÊwall/rock climbing is a better subtitute and at the same timeåÊpreparationåÊforåÊmy upcoming climbs on my vacation. i found 1 wall climbing in cityåÊcenter but it'såÊtoo expensive.,Irrelevant
Water Theme Park Top 5 Movies of all times - My list,Is Aqua Park now open to visit ???,1) The Godfather 2) Forrest Gump 3) Gladiator 4) Titanic 5) Land Before Time - Yup Yup Yup lol What's yours?,Irrelevant
Best QL Profile Pics ( Avatars ) How's my new avatar?,Which ones are the best looking ones? Care to explain your QL avatar?,Designed it myself.....comments are welcome :-D he he! Going to church no more makes you a Christian than standing in a garage makes you a car. ~ Garrison Keillor,Relevant
Best QL Profile Pics ( Avatars ) Why many Qlers using fake AVTAR,Which ones are the best looking ones? Care to explain your QL avatar?,Why many Qlers using fake AVTAR and very rare users using some short of clear picture. Even senior Qlers also not encouraging these trends; so how come we expect with the new commerce?,Irrelevant
Best QL Profile Pics ( Avatars ) who are the trolls in QATAR LIVING?,Which ones are the best looking ones? Care to explain your QL avatar?,i am newbie here so i dont have any idea who are those stupid ID'S.....,Irrelevant
Best QL Profile Pics ( Avatars ) Do I know you?,Which ones are the best looking ones? Care to explain your QL avatar?,Why do some people sent friend request to people whom they have not interacted in any thread? I donÛªt accept buddy request unless I notice their comments here. And some male ids got only female friendsÛ_and some female ids got only male friends....why so? Can someone give a logical answer to this? Illogical answers are not accepted..lol,Irrelevant
"Best QL Profile Pics ( Avatars ) ""Join QL on Facebook",Which ones are the best looking ones? Care to explain your QL avatar?,"Click here or copy paste this link in your browser: http://www.facebook.com/group.php?v=app_2344061033&ref=search&gid=101778858409#!/group.php?gid=101778858409 If you are on FB. You will not miss any of QL Hot Topics ("""";)""",Relevant
Best QL Profile Pics ( Avatars ) Why did you choose your profile picture?,Which ones are the best looking ones? Care to explain your QL avatar?,It just come to my mind to ask this Q. why did you choose this profile picture to present you? I profile picture is my niece because I bleive that she is my soulmate. :) thanks for everybody,Relevant
Best QL Profile Pics ( Avatars ) You tube,Which ones are the best looking ones? Care to explain your QL avatar?,Hi everyone! I try to sign up in You tube. Then after I click the create my account; this message shows: Sorry. Based on the information you have submitted to us; you are ineligible to register for YouTube.com. But why?! I really have no idea in this one. Any suggestions? Thanks in advance!,Irrelevant
Best QL Profile Pics ( Avatars ) What do u love abotu Qatar?,Which ones are the best looking ones? Care to explain your QL avatar?,I love the beaches; I love dune buggies on the sand dunes; I love the souqs; I love the villagio; lol; and I love in general love the weather (yes; I know that is crazy) lol,Irrelevant
Best QL Profile Pics ( Avatars ) Welcome back Guys :),Which ones are the best looking ones? Care to explain your QL avatar?,Where is my Qlers ?:P,Irrelevant
Best QL Profile Pics ( Avatars ) cheaters;romantic;pretenders;liers..,Which ones are the best looking ones? Care to explain your QL avatar?,man or woman??? in time of relationships between man and woman we expirience the cheats;lies;romance and pretending of each other..who is the most doing of this..man or woman??,Irrelevant
Abaya shops in Doha where to buy good abhaya in doha,I want to purchase a Abaya. I checked many shops but it is very costly. Around 1000/- to 1500/-. But i dont want to spend that much. Please suggest any shops there i can buy cheap Abaya. Please post the details and cost of Abaya. Thanks,hi could any one suggest me the nest place to get abhaya?,PerfectMatch
Abaya shops in Doha does any one knows?,I want to purchase a Abaya. I checked many shops but it is very costly. Around 1000/- to 1500/-. But i dont want to spend that much. Please suggest any shops there i can buy cheap Abaya. Please post the details and cost of Abaya. Thanks,does anyone knows shop for abayas with good price; auz the shop i saw the price is expensive,PerfectMatch
Abaya shops in Doha Ladies Tailor?,I want to purchase a Abaya. I checked many shops but it is very costly. Around 1000/- to 1500/-. But i dont want to spend that much. Please suggest any shops there i can buy cheap Abaya. Please post the details and cost of Abaya. Thanks,Does anyone know of a good ladies tailor in Doha? I&#39;m not too interested in ones who can only sew the standard black abaya/cloaks. I&#39;m looking for a tailor who can sew something more casual.... Thanks!,Irrelevant
"Abaya shops in Doha ""What can women wear???",I want to purchase a Abaya. I checked many shops but it is very costly. Around 1000/- to 1500/-. But i dont want to spend that much. Please suggest any shops there i can buy cheap Abaya. Please post the details and cost of Abaya. Thanks,"My wife and I are moving to Qatar in October from The USA (Texas) SHe is a bit concerned on what is proper dress for women. We have been told that anything is fine as long as her sholders are covered and her knees....She is very upset about having to """"cover up"""" when its 115' degrees outside. What is acceptable?""",Relevant
